Site,Biomass,MCH
ABBY,255.554062,34
BART,152.43576,23
BLAN,0,1
BONA,29.14213,8
CLBJ,39.642086,13
DEJU,58.28426,10
DELA,123.597664,30
DSNY,0,1.5
GRSM,154.07663,30
GUAN,117.730141,10
HARV,134.502136,26
HEAL,17.933619,0.3
JERC,64.314301,27
JORN,0,0.4
KONZ,0,1.5
LENO,93.032616,35
MLBS,132.260437,18
ORNL,128.471512,28
OSBS,68.722557,23
PUUM,100,20
RMNP,38.893902,19
SCBI,156.919159,35
SERC,147.952347,38
SJER,73.976173,21
SOAP,235.378738,32
SRER,0,2
STEI,97.937225,20
TALL,91.748566,25
TEAK,226.411926,35
TREE,111.037758,23
UKFS,0,19
UNDE,133.754913,24
WREF,378.847687,50
YELL,46.88752,14
